Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),    APmag,  S-brt,             delta,     deldot,     S-O-T,/r,     S-T-O,  Sky_motion, Sky_mot_PA, RelVel-ANG, Lun_Sky_Brt  sky_SNR

 2022-Jul-11 00:00, , ,   197.51785,   22.67345,   17.173,   n.a.,  52.8140356156280, 25.4275187,   79.5486,/T,    1.0884,   0.0265314,  170.09310,  56.330642,        n.a.     n.a.
 2022-Jul-12 00:00, , ,   197.51998,   22.66295,   17.173,   n.a.,  52.8286951350857, 25.3360921,   78.7139,/T,    1.0854,   0.0268960,  168.68655,  55.865686,        n.a.     n.a.
 2022-Jul-13 00:00, , ,   197.52241,   22.65235,   17.173,   n.a.,  52.8433000458918, 25.2384314,   77.8800,/T,    1.0822,   0.0272700,  167.31803,  55.386458,        n.a.     n.a.
 2022-Jul-14 00:00, , ,   197.52515,   22.64166,   17.174,   n.a.,  52.8578467703722, 25.1346016,   77.0470,/T,    1.0787,   0.0276530,  165.98635,  54.893510,        n.a.     n.a.
 2022-Jul-15 00:00, , ,   197.52820,   22.63089,   17.174,   n.a.,  52.8723317435457, 25.0245813,   76.2149,/T,    1.0750,   0.0280445,  164.69023,  54.387296,        n.a.     n.a.
 2022-Jul-16 00:00, , ,   197.53155,   22.62002,   17.174,   n.a.,  52.8867513646259, 24.9082714,   75.3837,/T,    1.0711,   0.0284441,  163.42842,  53.868224,        n.a.     n.a.
 2022-Jul-17 00:00, , ,   197.53521,   22.60907,   17.174,   n.a.,  52.9011019600683, 24.7855248,   74.5535,/T,    1.0670,   0.0288511,  162.19973,  53.336698,        n.a.     n.a.
 2022-Jul-18 00:00, , ,   197.53918,   22.59804,   17.174,   n.a.,  52.9153797658830, 24.6561811,   73.7242,/T,    1.0626,   0.0292651,  161.00315,  52.793154,        n.a.     n.a.
 2022-Jul-19 00:00, , ,   197.54345,   22.58693,   17.175,   n.a.,  52.9295809289063, 24.5200956,   72.8961,/T,    1.0580,   0.0296854,  159.83775,  52.238070,        n.a.     n.a.
 2022-Jul-20 00:00, , ,   197.54803,   22.57575,   17.175,   n.a.,  52.9437015209518, 24.3771548,   72.0690,/T,    1.0532,   0.0301113,  158.70270,  51.671957,        n.a.     n.a.
 2022-Jul-21 00:00, , ,   197.55291,   22.56449,   17.175,   n.a.,  52.9577375584217, 24.2272802,   71.2431,/T,    1.0482,   0.0305420,  157.59722,  51.095346,        n.a.     n.a.
 2022-Jul-22 00:00, , ,   197.55809,   22.55315,   17.175,   n.a.,  52.9716850218107, 24.0704250,   70.4184,/T,    1.0430,   0.0309770,  156.52051,  50.508772,        n.a.     n.a.
 2022-Jul-23 00:00, , ,   197.56358,   22.54175,   17.175,   n.a.,  52.9855398722967, 23.9065680,   69.5950,/T,    1.0375,   0.0314157,  155.47180,  49.912766,        n.a.     n.a.
 2022-Jul-24 00:00, , ,   197.56937,   22.53029,   17.175,   n.a.,  52.9992980648099, 23.7357080,   68.7730,/T,    1.0319,   0.0318573,  154.45030,  49.307844,        n.a.     n.a.
 2022-Jul-25 00:00, , ,   197.57546,   22.51875,   17.175,   n.a.,  53.0129555582161, 23.5578593,   67.9524,/T,    1.0260,   0.0323012,  153.45522,  48.694510,        n.a.     n.a.
 2022-Jul-26 00:00, , ,   197.58185,   22.50716,   17.175,   n.a.,  53.0265083237176, 23.3730501,   67.1334,/T,    1.0200,   0.0327470,  152.48576,  48.073251,        n.a.     n.a.
 2022-Jul-27 00:00, , ,   197.58854,   22.49551,   17.175,   n.a.,  53.0399523525697, 23.1813217,   66.3159,/T,    1.0137,   0.0331939,  151.54112,  47.444544,        n.a.     n.a.
 2022-Jul-28 00:00, , ,   197.59553,   22.48381,   17.175,   n.a.,  53.0532836639649, 22.9827297,   65.5002,/T,    1.0072,   0.0336415,  150.62055,  46.808856,        n.a.     n.a.
 2022-Jul-29 00:00, , ,   197.60282,   22.47206,   17.175,   n.a.,  53.0664983135818, 22.7773453,   64.6862,/T,    1.0006,   0.0340892,  149.72326,  46.166645,        n.a.     n.a.
 2022-Jul-30 00:00, , ,   197.61039,   22.46025,   17.174,   n.a.,  53.0795924029451, 22.5652561,   63.8741,/T,    0.9937,   0.0345365,  148.84852,  45.518365,        n.a.     n.a.
 2022-Jul-31 00:00, , ,   197.61826,   22.44840,   17.174,   n.a.,  53.0925620894511, 22.3465680,   63.0640,/T,    0.9867,   0.0349829,  147.99558,  44.864461,        n.a.     n.a.
 2022-Aug-01 00:00, , ,   197.62642,   22.43651,   17.174,   n.a.,  53.1054035967602, 22.1214048,   62.2560,/T,    0.9795,   0.0354278,  147.16375,  44.205371,        n.a.     n.a.
 2022-Aug-02 00:00, , ,   197.63487,   22.42458,   17.174,   n.a.,  53.1181132252505, 21.8899082,   61.4502,/T,    0.9721,   0.0358709,  146.35232,  43.541522,        n.a.     n.a.
 2022-Aug-03 00:00, , ,   197.64360,   22.41262,   17.174,   n.a.,  53.1306873623328, 21.6522378,   60.6467,/T,    0.9645,   0.0363117,  145.56061,  42.873331,        n.a.     n.a.
 2022-Aug-04 00:00, , ,   197.65262,   22.40062,   17.173,   n.a.,  53.1431224925323, 21.4085702,   59.8456,/T,    0.9567,   0.0367499,  144.78796,  42.201203,        n.a.     n.a.
 2022-Aug-05 00:00, , ,   197.66192,   22.38859,   17.173,   n.a.,  53.1554152071758, 21.1590984,   59.0471,/T,    0.9488,   0.0371851,  144.03371,  41.525520,        n.a.     n.a.
 2022-Aug-06 00:00, , ,   197.67149,   22.37653,   17.173,   n.a.,  53.1675622131162, 20.9040288,   58.2512,/T,    0.9408,   0.0376171,  143.29721,  40.846642,        n.a.     n.a.
 2022-Aug-07 00:00, , ,   197.68135,   22.36445,   17.173,   n.a.,  53.1795603390682, 20.6435756,   57.4580,/T,    0.9325,   0.0380456,  142.57783,  40.164889,        n.a.     n.a.
 2022-Aug-08 00:00, , ,   197.69147,   22.35235,   17.172,   n.a.,  53.1914065369294, 20.3779487,   56.6678,/T,    0.9242,   0.0384706,  141.87489,  39.480519,        n.a.     n.a.
 2022-Aug-09 00:00, , ,   197.70187,   22.34023,   17.172,   n.a.,  53.2030978744286, 20.1073357,   55.8807,/T,    0.9157,   0.0388920,  141.18771,  38.793708,        n.a.     n.a.
 2022-Aug-10 00:00, , ,   197.71254,   22.32809,   17.171,   n.a.,  53.2146315155851, 19.8318785,   55.0966,/T,    0.9070,   0.0393099,  140.51555,  38.104531,        n.a.     n.a.
 2022-Aug-11 00:00, , ,   197.72347,   22.31594,   17.171,   n.a.,  53.2260046878833, 19.5516520,   54.3159,/T,    0.8982,   0.0397242,  139.85766,  37.412950,        n.a.     n.a.
 2022-Aug-12 00:00, , ,   197.73466,   22.30379,   17.171,   n.a.,  53.2372146398549, 19.2666539,   53.5387,/T,    0.8893,   0.0401351,  139.21323,  36.718839,        n.a.     n.a.
 2022-Aug-13 00:00, , ,   197.74612,   22.29162,   17.170,   n.a.,  53.2482585978955, 18.9768128,   52.7650,/T,    0.8802,   0.0405426,  138.58149,  36.022022,        n.a.     n.a.
 2022-Aug-14 00:00, , ,   197.75783,   22.27945,   17.170,   n.a.,  53.2591337331115, 18.6820140,   51.9950,/T,    0.8711,   0.0409466,  137.96172,  35.322326,        n.a.     n.a.
 2022-Aug-15 00:00, , ,   197.76980,   22.26728,   17.169,   n.a.,  53.2698371457437, 18.3821323,   51.2290,/T,    0.8618,   0.0413468,  137.35329,  34.619624,        n.a.     n.a.
 2022-Aug-16 00:00, , ,   197.78202,   22.25511,   17.169,   n.a.,  53.2803658680209, 18.0770612,   50.4671,/T,    0.8525,   0.0417430,  136.75562,  33.913862,        n.a.     n.a.
 2022-Aug-17 00:00, , ,   197.79450,   22.24294,   17.168,   n.a.,  53.2907168803432, 17.7667294,   49.7095,/T,    0.8430,   0.0421347,  136.16824,  33.205053,        n.a.     n.a.
 2022-Aug-18 00:00, , ,   197.80722,   22.23078,   17.167,   n.a.,  53.3008871334203, 17.4511053,   48.9565,/T,    0.8334,   0.0425217,  135.59071,  32.493268,        n.a.     n.a.
 2022-Aug-19 00:00, , ,   197.82020,   22.21862,   17.167,   n.a.,  53.3108735702067, 17.1301926,   48.2082,/T,    0.8238,   0.0429036,  135.02267,  31.778613,        n.a.     n.a.
 2022-Aug-20 00:00, , ,   197.83341,   22.20648,   17.166,   n.a.,  53.3206731442164, 16.8040228,   47.4649,/T,    0.8141,   0.0432799,  134.46376,  31.061214,        n.a.     n.a.
 2022-Aug-21 00:00, , ,   197.84686,   22.19436,   17.166,   n.a.,  53.3302828333088, 16.4726474,   46.7269,/T,    0.8043,   0.0436504,  133.91363,  30.341206,        n.a.     n.a.
 2022-Aug-22 00:00, , ,   197.86056,   22.18225,   17.165,   n.a.,  53.3396996496067, 16.1361329,   45.9945,/T,    0.7944,   0.0440147,  133.37197,  29.618724,        n.a.     n.a.
 2022-Aug-23 00:00, , ,   197.87449,   22.17016,   17.164,   n.a.,  53.3489206468945, 15.7945569,   45.2680,/T,    0.7845,   0.0443725,  132.83846,  28.893906,        n.a.     n.a.
 2022-Aug-24 00:00, , ,   197.88864,   22.15809,   17.164,   n.a.,  53.3579429269576, 15.4480079,   44.5476,/T,    0.7746,   0.0447236,  132.31280,  28.166890,        n.a.     n.a.
 2022-Aug-25 00:00, , ,   197.90303,   22.14606,   17.163,   n.a.,  53.3667636461425, 15.0965868,   43.8338,/T,    0.7646,   0.0450675,  131.79471,  27.437824,        n.a.     n.a.
 2022-Aug-26 00:00, , ,   197.91764,   22.13405,   17.162,   n.a.,  53.3753800230692, 14.7404088,   43.1268,/T,    0.7546,   0.0454039,  131.28391,  26.706864,        n.a.     n.a.
 2022-Aug-27 00:00, , ,   197.93248,   22.12207,   17.161,   n.a.,  53.3837893479850, 14.3796072,   42.4271,/T,    0.7446,   0.0457327,  130.78014,  25.974182,        n.a.     n.a.
 2022-Aug-28 00:00, , ,   197.94753,   22.11013,   17.161,   n.a.,  53.3919889937393, 14.0143352,   41.7351,/T,    0.7346,   0.0460535,  130.28317,  25.239968,        n.a.     n.a.
 2022-Aug-29 00:00, , ,   197.96279,   22.09823,   17.160,   n.a.,  53.3999764278577, 13.6447674,   41.0512,/T,    0.7246,   0.0463660,  129.79278,  24.504426,        n.a.     n.a.
 2022-Aug-30 00:00, , ,   197.97827,   22.08638,   17.159,   n.a.,  53.4077492247866, 13.2710992,   40.3758,/T,    0.7146,   0.0466701,  129.30877,  23.767774,        n.a.     n.a.
 2022-Aug-31 00:00, , ,   197.99395,   22.07456,   17.158,   n.a.,  53.4153050771822, 12.8935440,   39.7094,/T,    0.7046,   0.0469654,  128.83092,  23.030238,        n.a.     n.a.
 2022-Sep-01 00:00, , ,   198.00983,   22.06280,   17.158,   n.a.,  53.4226418051431, 12.5123288,   39.0525,/T,    0.6947,   0.0472519,  128.35907,  22.292040,        n.a.     n.a.
 2022-Sep-02 00:00, , ,   198.02591,   22.05108,   17.157,   n.a.,  53.4297573624595, 12.1276884,   38.4057,/T,    0.6849,   0.0475296,  127.89302,  21.553395,        n.a.     n.a.
 2022-Sep-03 00:00, , ,   198.04218,   22.03942,   17.156,   n.a.,  53.4366498390893, 11.7398583,   37.7694,/T,    0.6751,   0.0477982,  127.43260,  20.814499,        n.a.     n.a.
 2022-Sep-04 00:00, , ,   198.05865,   22.02782,   17.155,   n.a.,  53.4433174590225, 11.3490655,   37.1442,/T,    0.6654,   0.0480580,  126.97763,  20.075512,        n.a.     n.a.
 2022-Sep-05 00:00, , ,   198.07529,   22.01628,   17.154,   n.a.,  53.4497585724243, 10.9555179,   36.5308,/T,    0.6558,   0.0483089,  126.52790,  19.336552,        n.a.     n.a.
 2022-Sep-06 00:00, , ,   198.09212,   22.00480,   17.154,   n.a.,  53.4559716407369, 10.5593906,   35.9297,/T,    0.6463,   0.0485512,  126.08319,  18.597671,        n.a.     n.a.
 2022-Sep-07 00:00, , ,   198.10913,   21.99338,   17.153,   n.a.,  53.4619552137504, 10.1608121,   35.3417,/T,    0.6370,   0.0487850,  125.64325,  17.858847,        n.a.     n.a.
 2022-Sep-08 00:00, , ,   198.12631,   21.98203,   17.152,   n.a.,  53.4677078990881,  9.7598529,   34.7673,/T,    0.6278,   0.0490106,  125.20781,  17.119969,        n.a.     n.a.
 2022-Sep-09 00:00, , ,   198.14366,   21.97075,   17.151,   n.a.,  53.4732283271405,  9.3565216,   34.2074,/T,    0.6188,   0.0492281,  124.77655,  16.380846,        n.a.     n.a.
 2022-Sep-10 00:00, , ,   198.16117,   21.95955,   17.150,   n.a.,  53.4785151172939,  8.9507739,   33.6626,/T,    0.6099,   0.0494377,  124.34915,  15.641230,        n.a.     n.a.
 2022-Sep-11 00:00, , ,   198.17885,   21.94842,   17.150,   n.a.,  53.4835668525829,  8.5425324,   33.1337,/T,    0.6013,   0.0496393,  123.92525,  14.900853,        n.a.     n.a.
 2022-Sep-12 00:00, , ,   198.19668,   21.93736,   17.149,   n.a.,  53.4883820682285,  8.1317135,   32.6215,/T,    0.5928,   0.0498330,  123.50455,  14.159462,        n.a.     n.a.
 2022-Sep-13 00:00, , ,   198.21466,   21.92639,   17.148,   n.a.,  53.4929592553231,  7.7182515,   32.1269,/T,    0.5846,   0.0500185,  123.08674,  13.416858,        n.a.     n.a.
 2022-Sep-14 00:00, , ,   198.23280,   21.91549,   17.147,   n.a.,  53.4972968763984,  7.3021148,   31.6507,/T,    0.5767,   0.0501956,  122.67159,  12.672900,        n.a.     n.a.
 2022-Sep-15 00:00, , ,   198.25108,   21.90468,   17.146,   n.a.,  53.5013933870809,  6.8833112,   31.1938,/T,    0.5690,   0.0503641,  122.25885,  11.927514,        n.a.     n.a.
 2022-Sep-16 00:00, , ,   198.26950,   21.89396,   17.146,   n.a.,  53.5052472582122,  6.4618847,   30.7571,/T,    0.5616,   0.0505236,  121.84834,  11.180673,        n.a.     n.a.
 2022-Sep-17 00:00, , ,   198.28806,   21.88333,   17.145,   n.a.,  53.5088569947456,  6.0379080,   30.3415,/T,    0.5546,   0.0506741,  121.43988,  10.432383,        n.a.     n.a.
 2022-Sep-18 00:00, , ,   198.30676,   21.87279,   17.144,   n.a.,  53.5122211500161,  5.6114747,   29.9480,/T,    0.5478,   0.0508151,  121.03329,  9.6826750,        n.a.     n.a.
 2022-Sep-19 00:00, , ,   198.32558,   21.86235,   17.144,   n.a.,  53.5153383356933,  5.1826923,   29.5774,/T,    0.5415,   0.0509466,  120.62842,  8.9315867,        n.a.     n.a.
 2022-Sep-20 00:00, , ,   198.34453,   21.85200,   17.143,   n.a.,  53.5182072286617,  4.7516785,   29.2308,/T,    0.5355,   0.0510683,  120.22512,  8.1791633,        n.a.     n.a.
 2022-Sep-21 00:00, , ,   198.36359,   21.84176,   17.143,   n.a.,  53.5208265763947,  4.3185602,   28.9090,/T,    0.5299,   0.0511799,  119.82322,  7.4254550,        n.a.     n.a.
 2022-Sep-22 00:00, , ,   198.38278,   21.83162,   17.142,   n.a.,  53.5231952023596,  3.8834742,   28.6129,/T,    0.5247,   0.0512814,  119.42257,  6.6705203,        n.a.     n.a.
 2022-Sep-23 00:00, , ,   198.40207,   21.82158,   17.142,   n.a.,  53.5253120127521,  3.4465707,   28.3435,/T,    0.5199,   0.0513724,  119.02304,  5.9144318,        n.a.     n.a.
 2022-Sep-24 00:00, , ,   198.42147,   21.81165,   17.141,   n.a.,  53.5271760054648,  3.0080178,   28.1014,/T,    0.5156,   0.0514529,  118.62449,  5.1572832,        n.a.     n.a.
 2022-Sep-25 00:00, , ,   198.44097,   21.80183,   17.141,   n.a.,  53.5287862816002,  2.5680055,   27.8875,/T,    0.5117,   0.0515226,  118.22679,  4.3991958,        n.a.     n.a.
 2022-Sep-26 00:00, , ,   198.46057,   21.79213,   17.140,   n.a.,  53.5301420590450,  2.1267484,   27.7026,/T,    0.5083,   0.0515813,  117.82983,  3.6403234,        n.a.     n.a.
 2022-Sep-27 00:00, , ,   198.48025,   21.78254,   17.140,   n.a.,  53.5312426867142,  1.6844851,   27.5471,/T,    0.5054,   0.0516290,  117.43353,  2.8808510,        n.a.     n.a.
 2022-Sep-28 00:00, , ,   198.50003,   21.77308,   17.140,   n.a.,  53.5320876572983,  1.2414738,   27.4218,/T,    0.5030,   0.0516655,  117.03781,  2.1209888,        n.a.     n.a.
 2022-Sep-29 00:00, , ,   198.51988,   21.76373,   17.140,   n.a.,  53.5326766160263,  0.7979828,   27.3270,/T,    0.5011,   0.0516908,  116.64261,  1.3609599,        n.a.     n.a.
 2022-Sep-30 00:00, , ,   198.53981,   21.75450,   17.140,   n.a.,  53.5330093633100,  0.3542790,   27.2632,/T,    0.4998,   0.0517050,  116.24787,  0.6009841,        n.a.     n.a.
 2022-Oct-01 00:00, , ,   198.55981,   21.74541,   17.139,   n.a.,  53.5330858500939, -0.0893854,   27.2305,/T,    0.4989,   0.0517083,  115.85353,  -0.158740,        n.a.     n.a.
 2022-Oct-02 00:00, , ,   198.57987,   21.73644,   17.139,   n.a.,  53.5329061659228, -0.5327844,   27.2292,/T,    0.4986,   0.0517007,  115.45952,  -0.918050,        n.a.     n.a.
 2022-Oct-03 00:00, , ,   198.59999,   21.72760,   17.140,   n.a.,  53.5324705206799, -0.9757287,   27.2592,/T,    0.4989,   0.0516826,  115.06575,  -1.676835,        n.a.     n.a.
 2022-Oct-04 00:00, , ,   198.62017,   21.71889,   17.140,   n.a.,  53.5317792214467, -1.4180720,   27.3207,/T,    0.4996,   0.0516542,  114.67211,  -2.435041,        n.a.     n.a.
 2022-Oct-05 00:00, , ,   198.64040,   21.71032,   17.140,   n.a.,  53.5308326461064, -1.8597158,   27.4132,/T,    0.5009,   0.0516157,  114.27845,  -3.192683,        n.a.     n.a.
 2022-Oct-06 00:00, , ,   198.66067,   21.70189,   17.140,   n.a.,  53.5296312155533, -2.3006095,   27.5367,/T,    0.5027,   0.0515676,  113.88461,  -3.949842,        n.a.     n.a.
 2022-Oct-07 00:00, , ,   198.68098,   21.69359,   17.140,   n.a.,  53.5281753669026, -2.7407462,   27.6908,/T,    0.5050,   0.0515098,  113.49036,  -4.706661,        n.a.     n.a.
 2022-Oct-08 00:00, , ,   198.70133,   21.68543,   17.140,   n.a.,  53.5264655307779, -3.1801532,   27.8749,/T,    0.5078,   0.0514428,  113.09548,  -5.463337,        n.a.     n.a.
 2022-Oct-09 00:00, , ,   198.72171,   21.67742,   17.141,   n.a.,  53.5245021159972, -3.6188758,   28.0885,/T,    0.5111,   0.0513665,  112.69970,  -6.220096,        n.a.     n.a.
 2022-Oct-10 00:00, , ,   198.74211,   21.66955,   17.141,   n.a.,  53.5222855041808, -4.0569597,   28.3311,/T,    0.5149,   0.0512809,  112.30276,  -6.977169,        n.a.     n.a.
 2022-Oct-11 00:00, , ,   198.76253,   21.66182,   17.142,   n.a.,  53.5198160548649, -4.4944332,   28.6020,/T,    0.5192,   0.0511860,  111.90439,  -7.734768,        n.a.     n.a.
 2022-Oct-12 00:00, , ,   198.78298,   21.65424,   17.142,   n.a.,  53.5170941193050, -4.9312952,   28.9004,/T,    0.5239,   0.0510817,  111.50433,  -8.493067,        n.a.     n.a.
 2022-Oct-13 00:00, , ,   198.80343,   21.64681,   17.143,   n.a.,  53.5141200593717, -5.3675097,   29.2255,/T,    0.5290,   0.0509678,  111.10233,  -9.252191,        n.a.     n.a.
 2022-Oct-14 00:00, , ,   198.82389,   21.63953,   17.143,   n.a.,  53.5108942675025, -5.8030075,   29.5766,/T,    0.5345,   0.0508442,  110.69818,  -10.01222,        n.a.     n.a.
 2022-Oct-15 00:00, , ,   198.84435,   21.63241,   17.144,   n.a.,  53.5074171845227, -6.2376914,   29.9527,/L,    0.5405,   0.0507108,  110.29164,  -10.77320,        n.a.     n.a.
 2022-Oct-16 00:00, , ,   198.86481,   21.62544,   17.144,   n.a.,  53.5036893136473, -6.6714438,   30.3530,/L,    0.5468,   0.0505673,  109.88251,  -11.53513,        n.a.     n.a.
 2022-Oct-17 00:00, , ,   198.88526,   21.61862,   17.145,   n.a.,  53.4997112304338, -7.1041328,   30.7766,/L,    0.5534,   0.0504137,  109.47059,  -12.29801,        n.a.     n.a.
 2022-Oct-18 00:00, , ,   198.90570,   21.61196,   17.146,   n.a.,  53.4954835894899, -7.5356169,   31.2226,/L,    0.5604,   0.0502499,  109.05566,  -13.06182,        n.a.     n.a.
 2022-Oct-19 00:00, , ,   198.92612,   21.60547,   17.147,   n.a.,  53.4910071292794, -7.9657474,   31.6902,/L,    0.5677,   0.0500759,  108.63752,  -13.82654,        n.a.     n.a.
 2022-Oct-20 00:00, , ,   198.94652,   21.59913,   17.147,   n.a.,  53.4862826765647, -8.3943670,   32.1784,/L,    0.5754,   0.0498914,  108.21595,  -14.59213,        n.a.     n.a.
 2022-Oct-21 00:00, , ,   198.96688,   21.59296,   17.148,   n.a.,  53.4813111519697, -8.8213072,   32.6863,/L,    0.5832,   0.0496964,  107.79074,  -15.35853,        n.a.     n.a.
 2022-Oct-22 00:00, , ,   198.98722,   21.58696,   17.149,   n.a.,  53.4760935779133, -9.2463831,   33.2132,/L,    0.5914,   0.0494909,  107.36167,  -16.12570,        n.a.     n.a.
 2022-Oct-23 00:00, , ,   199.00751,   21.58112,   17.150,   n.a.,  53.4706310896686, -9.6693878,   33.7581,/L,    0.5997,   0.0492748,  106.92853,  -16.89353,        n.a.     n.a.
 2022-Oct-24 00:00, , ,   199.02776,   21.57545,   17.150,   n.a.,  53.4649249494277,-10.0900882,   34.3202,/L,    0.6083,   0.0490480,  106.49113,  -17.66188,        n.a.     n.a.
 2022-Oct-25 00:00, , ,   199.04796,   21.56995,   17.151,   n.a.,  53.4589765619616,-10.5082241,   34.8988,/L,    0.6171,   0.0488105,  106.04930,  -18.43058,        n.a.     n.a.
 2022-Oct-26 00:00, , ,   199.06811,   21.56462,   17.152,   n.a.,  53.4527874889634,-10.9235138,   35.4930,/L,    0.6261,   0.0485623,  105.60288,  -19.19938,        n.a.     n.a.
 2022-Oct-27 00:00, , ,   199.08819,   21.55947,   17.153,   n.a.,  53.4463594580497,-11.3356671,   36.1021,/L,    0.6352,   0.0483035,  105.15176,  -19.96802,        n.a.     n.a.
 2022-Oct-28 00:00, , ,   199.10820,   21.55450,   17.153,   n.a.,  53.4396943624813,-11.7444040,   36.7254,/L,    0.6445,   0.0480345,  104.69584,  -20.73621,        n.a.     n.a.
 2022-Oct-29 00:00, , ,   199.12815,   21.54969,   17.154,   n.a.,  53.4327942494039,-12.1494748,   37.3622,/L,    0.6539,   0.0477553,  104.23502,  -21.50368,        n.a.     n.a.
 2022-Oct-30 00:00, , ,   199.14801,   21.54507,   17.155,   n.a.,  53.4256612973504,-12.5506763,   38.0119,/L,    0.6634,   0.0474665,  103.76916,  -22.27017,        n.a.     n.a.
 2022-Oct-31 00:00, , ,   199.16779,   21.54063,   17.156,   n.a.,  53.4182977865583,-12.9478603,   38.6738,/L,    0.6729,   0.0471684,  103.29814,  -23.03551,        n.a.     n.a.
 2022-Nov-01 00:00, , ,   199.18748,   21.53636,   17.157,   n.a.,  53.4107060670048,-13.3409327,   39.3472,/L,    0.6826,   0.0468613,  102.82174,  -23.79960,        n.a.     n.a.
 2022-Nov-02 00:00, , ,   199.20708,   21.53228,   17.157,   n.a.,  53.4028885286093,-13.7298477,   40.0318,/L,    0.6924,   0.0465458,  102.33973,  -24.56237,        n.a.     n.a.
 2022-Nov-03 00:00, , ,   199.22658,   21.52838,   17.158,   n.a.,  53.3948475764949,-14.1145967,   40.7268,/L,    0.7021,   0.0462221,  101.85181,  -25.32385,        n.a.     n.a.
 2022-Nov-04 00:00, , ,   199.24598,   21.52466,   17.159,   n.a.,  53.3865856126100,-14.4951974,   41.4319,/L,    0.7120,   0.0458905,  101.35765,  -26.08409,        n.a.     n.a.
 2022-Nov-05 00:00, , ,   199.26527,   21.52112,   17.160,   n.a.,  53.3781050240383,-14.8716816,   42.1465,/L,    0.7218,   0.0455513,  100.85686,  -26.84319,        n.a.     n.a.
 2022-Nov-06 00:00, , ,   199.28444,   21.51776,   17.160,   n.a.,  53.3694081779554,-15.2440845,   42.8701,/L,    0.7317,   0.0452046,  100.34903,  -27.60127,        n.a.     n.a.
 2022-Nov-07 00:00, , ,   199.30350,   21.51459,   17.161,   n.a.,  53.3604974230433,-15.6124333,   43.6025,/L,    0.7416,   0.0448506,  99.833702,  -28.35845,        n.a.     n.a.
 2022-Nov-08 00:00, , ,   199.32244,   21.51161,   17.162,   n.a.,  53.3513750968506,-15.9767378,   44.3432,/L,    0.7514,   0.0444894,  99.310393,  -29.11485,        n.a.     n.a.
